dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds007052	Age	Int64	Age of subject in years	10	1			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007052	Gender	Int64	Self reported gender	4	1	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007052	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007052	participant_id	string	Unique participant label	288	0			False			nb:ParticipantID								Seb				
ds007052	Race	string	Race (could choose more than one, see README)	19	12			False											Seb				
ds007056	Age	Int64	Age of subject in years	10	9			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007056	Gender	Int64	Self reported gender	4	11	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007056	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007056	participant_id	string	Unique participant label	287	0			False			nb:ParticipantID								Seb				
ds007056	Race	string	Race (could choose more than one, see README)	19	12			False											Seb				
ds007069	Age	Int64	Age of subject in years	10	1			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007069	Gender	Int64	Self reported gender	4	1	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007069	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007069	participant_id	string	Unique participant label	281	0			False			nb:ParticipantID								Seb				
ds007069	Race	string	Race (could choose more than one, see README)	20	12			False											Seb				
ds007096	Age	Int64	Age of subject in years	10	0			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007096	Gender	Int64	Self reported gender	4	0	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007096	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007096	participant_id	string	Unique participant label	292	0			False			nb:ParticipantID								Seb				
ds007096	Race	string	Race (could choose more than one, see README)	20	12			False											Seb				
ds007116	age	Int64	age of the participant at baseline intake as in the initial session, might not be correct for other sessions	9	0		year	True	8	16	nb:Age								Seb			nb:FromFloat	
ds007116	age_months	Int64	age of the participant at baseline intake as in the initial session, might not be correct for other sessions	70	0		month	False	103	198									Seb				
ds007116	dx_adhd	Int64	binary record of whether or not the participant had Attention Deficit Hyperactivity Disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_bp	Int64	binary record of whether or not the participant had bipolar disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_mdd	Int64	binary record of whether or not the participant had major depressive disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_moodnos	Int64	binary record of whether or not the participant had a non-specific mood disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_none	Int64	binary record of whether or not the participant had no clinical diagnoses from the clinical interview at timepoint 1	2	0	0, 1		True	0	1							incorrect	dummy coded diagnosis	Seb				
ds007116	dx_prodromal	Int64	binary record of whether or not the participant had prodromal psychosis/subthreshold psychosis spectrum disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_prodromal_remit	Int64	binary record of whether or not the participant had prodromal psychosis/subthreshold psychosis spectrum disorder that is now in remission from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_psychosis	Int64	binary record of whether or not the participant had threshold psychosis spectrum disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_ptsd	Int64	binary record of whether or not the participant had Post-Traumatic Stress Disorder from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	dx_ptsd_remit	Int64	binary record of whether or not the participant had Post-Traumatic Stress Disorder that is now in remission from the clinical interview at timepoint 1	2	0	0, 1		True	0	1		nb:Assessment	n/a	n/a	not found	low	incorrect	dummy coded diagnosis	Seb				
ds007116	ethnicity	string	ethnicity of the participant as reported by the participant	2	1	Hispanic, Non - Hispanic, n/a		True											Seb				
ds007116	participant_id	string	participant identifier	132	0			False			nb:ParticipantID								Seb				
ds007116	race	string	race of the participant as reported by the participant	5	0	White, Black or African American, Asian, Unknown or not reported, More than one race		True											Seb				
ds007116	sex	string	sex of the participant as reported by the participant	2	0	M, F		True			nb:Sex								Seb				
ds007116	study_group	string	experimental group the participant belonged to	3	0	ADHD, TD/NC, PRO/CHR		True			nb:Diagnosis								Seb				
ds007118	age	Int64	age of the participant	42	0		year	False	0	45	nb:Age								Seb			nb:FromFloat	
ds007118	asm_number	Int64	Number of antiseizure medications	5	0			True	1	5									Seb				
ds007118	cohort	string	Derivation or test dataset	4	0	Derivation_cohort, Temporal_external_cohort, Geographical_external_cohort1, Geographical_external_cohort2		True											Seb				
ds007118	daily_seizure	string	presence of daily seizures as reported by the participant	2	0	presence, absence		True											Seb				
ds007118	extent_of_resection	Float64	Extent of resection	206	0		%	False	0.1	91.6									Seb				
ds007118	extratemporal_resection	string	Need for extra-temporal lobe resection	2	0	yes, no		True											Seb				
ds007118	mri_lesion	string	MRI-visible lesion	2	0	presence, absence		True											Seb				
ds007118	outcome	Int64	ILAE Class (1-6) outcome	6	0			True	1	6		nb:Assessment	273610003	Clinical global impression	Short Michigan alcoholism screening test	high	incorrect	Most likely this is a severity grade for epileptic seizures	Seb				
ds007118	participant_id	string		233	0			False			nb:ParticipantID								Seb				
ds007118	resected_hemisphere	string	Resected hemisphere	2	0	right, left		True											Seb				
ds007118	seizure_capture	string	Habitual seizures captured during iEEG recording	2	0	yes, no		True											Seb				
ds007118	sex	string	sex of the participant as reported by the participant	2	0	male, female		True			nb:Sex								Seb				
ds007118	soz_complete_resection	string	complete resection of SOZ	2	0	yes, no		True											Seb				
ds007119	age	Int64	age of the participant	42	0		year	False	0	45	nb:Age								Seb			nb:FromFloat	
ds007119	asm_number	Int64	Number of antiseizure medications	5	0			True	1	5									Seb				
ds007119	cohort	string	Derivation or test dataset	4	0	Derivation_cohort, Temporal_external_cohort, Geographical_external_cohort1, Geographical_external_cohort2		True											Seb				
ds007119	daily_seizure	string	presence of daily seizures as reported by the participant	2	0	presence, absence		True											Seb				
ds007119	extent_of_resection	Float64	Extent of resection	206	0		%	False	0.1	91.6									Seb				
ds007119	extratemporal_resection	string	Need for extra-temporal lobe resection	2	0	yes, no		True											Seb				
ds007119	mri_lesion	string	MRI-visible lesion	2	0	presence, absence		True											Seb				
ds007119	outcome	Int64	ILAE Class (1-6) outcome	6	0			True	1	6		nb:Assessment	273368007	Clinical dementia rating scale	Clinical eating disorder rating instrument	medium	incorrect	Most likely this is a severity grade for epileptic seizures	Seb				
ds007119	participant_id	string		233	0			False			nb:ParticipantID								Seb				
ds007119	resected_hemisphere	string	Resected hemisphere	2	0	right, left		True											Seb				
ds007119	seizure_capture	string	Habitual seizures captured during iEEG recording	2	0	yes, no		True											Seb				
ds007119	sex	string	sex of the participant as reported by the participant	2	0	male, female		True			nb:Sex								Seb				
ds007119	soz_complete_resection	string	complete resection of SOZ	2	0	yes, no		True											Seb				
ds007120	age	Int64	age of the participant	42	0		year	False	0	45	nb:Age								Seb			nb:FromFloat	
ds007120	asm_number	Int64	Number of antiseizure medications	5	0			True	1	5									Seb				
ds007120	cohort	string	Derivation or test dataset	4	0	Derivation_cohort, Temporal_external_cohort, Geographical_external_cohort1, Geographical_external_cohort2		True											Seb				
ds007120	daily_seizure	string	presence of daily seizures as reported by the participant	2	0	presence, absence		True											Seb				
ds007120	extent_of_resection	Float64	Extent of resection	206	0		%	False	0.1	91.6									Seb				
ds007120	extratemporal_resection	string	Need for extra-temporal lobe resection	2	0	yes, no		True											Seb				
ds007120	mri_lesion	string	MRI-visible lesion	2	0	presence, absence		True											Seb				
ds007120	outcome	Int64	ILAE Class (1-6) outcome	6	0			True	1	6		nb:Assessment	273610003	Health of the Nation Outcome Scale (generic version)	Short Michigan alcoholism screening test	high	incorrect	Most likely this is a severity grade for epileptic seizures	Seb				
ds007120	participant_id	string		233	0			False			nb:ParticipantID								Seb				
ds007120	resected_hemisphere	string	Resected hemisphere	2	0	right, left		True											Seb				
ds007120	seizure_capture	string	Habitual seizures captured during iEEG recording	2	0	yes, no		True											Seb				
ds007120	sex	string	sex of the participant as reported by the participant	2	0	male, female		True			nb:Sex								Seb				
ds007120	soz_complete_resection	string	complete resection of SOZ	2	0	yes, no		True											Seb				
ds007137	Age	Int64	Age of subject in years	10	1			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007137	Gender	Int64	Self reported gender	4	1	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007137	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007137	participant_id	string	Unique participant label	294	0			False			nb:ParticipantID								Seb				
ds007137	Race	string	Race (could choose more than one, see README)	20	12			False											Seb				
ds007139	Age	Int64	Age of subject in years	10	2			False	18	33	nb:Age								Seb			nb:FromFloat	
ds007139	Gender	Int64	Self reported gender	4	7	1, 2, 3, 4,		True	1	4	nb:Sex								Seb				
ds007139	Handedness	Int64	Self reported handedness	3	12	1, 2, 3,		True	1	3									Seb				
ds007139	participant_id	string	Unique participant label	292	0			False			nb:ParticipantID								Seb				
ds007139	Race	string	Race (could choose more than one, see README)	20	12			False											Seb				
ds007427	age	Float64	Age of the participant at time of testing	36	46		years	False	21.0	65.0	nb:Age								Seb			nb:FromFloat	
ds007427	Denom_alta	Float64		2	47			True	4.0	5.0									Seb				
ds007427	Denom_baja	Float64		5	47			True	1.0	5.0									Seb				
ds007427	Denom_error	Float64		8	47			True	0.0	7.0									Seb				
ds007427	Denom_med	Float64		5	47			True	1.0	5.0									Seb				
ds007427	Denom_total	Float64		10	47			False	0.0	15.0									Seb				
ds007427	education	Float64		16	46			False	1.0	18.0									Seb				
ds007427	hand	Int64	Handedness of the participant	0	138	R, L, A		True											Seb				
ds007427	MM_atenc	Float64		5	47			True	1.0	5.0		nb:Assessment	273369004	Clinical evaluation of language function revised	Clinical evaluation of language function revised	medium		could be right	Seb				
ds007427	MM_espac	Float64		4	47			True	0.0	5.0		nb:Assessment	273369004	Clinical evaluation of language function revised	Clinical evaluation of language function revised	medium		could be right	Seb				
ds007427	MM_evoc	Float64		4	47			True	0.0	3.0		nb:Assessment	273369004	Clinical evaluation of language function revised	Clinical evaluation of language function revised	medium		could be right	Seb				
ds007427	MM_fijac	Float64		1	47			True	3.0	3.0		nb:Assessment	273369004	Clinical evaluation of language function revised	Clinical evaluation of language function revised	medium		could be right	Seb				
